ticker,date,close,open,high,low,volume,pct_chg,open_to_close,gap_pct,intraday_range_pct,rel_vol_20_t1,rel_vol_50_t1,vol_5d_over_20_t1,intraday_range_pct_t1,close_vs_ma20_t1,close_vs_ma50_t1,close_vs_ma200_t1,prox_52w_high_t1,prox_52w_low_t1,ret_3d_t1,ret_5d_t1,ret_10d_t1,ret_20d_t1,atr_5_pct_t1,atr_20_pct_t1,atr_5_over_20_t1,boll_width_t1,consec_up_t1,consec_dn_t1,consol_range_10_t1,close_t1,price_bucket_t1,t1_close_pct,t1_open_gap_pct,t2_close_pct,t3_close_pct,t4_close_pct,t5_close_pct,fwd_5d_close_pct,fwd_5d_max_pct,dow,rel_vol_today,cont_score
XGN,2026-05-11,3.9800000190734863,3.359999895095825,4.130000114440918,3.0799999237060547,6215600.0,0.3491525270308069,0.18452385218303083,0.13898299687623175,0.35593226229243746,0.983477211547387,0.8320767756730437,1.1305114638447973,0.05782315407662513,1.004768412201688,0.974047433029275,0.47313783199900666,0.2466555215948624,1.1132075251018767,-0.045307401415650816,-0.03594767880809413,0.09259259095734862,-0.026402615333808388,0.06101695463185465,0.059423728564250614,1.0268112773482632,0.19665672612867208,1.0,0.0,0.1254236879926829,2.950000047683716,$1-5,-0.09296485482525052,0.020100483246901613,,,,,,,0,0.5518219308023502,5
DXYZ,2026-05-11,71.23999786376953,61.61000061035156,71.23999786376953,58.5,12624900.0,0.30476190210033316,0.15630574838527042,0.1283883211013828,0.2333333007290823,3.0398283265616217,3.274796701271724,1.8472755061012047,0.19655558268229167,1.6235020740140647,1.8375052431995826,1.927817519431815,1.0,2.622478351317866,0.42372883041874543,0.5730337053954613,0.854619479743459,0.9499999455043249,0.10377290338014325,0.047655681572538425,2.1775557489863364,0.802974807723411,3.0,0.0,0.46538459066271076,54.599998474121094,$50-200,-0.22136580731023248,-0.17567377547625085,,,,,,,0,1.368355416687305,4
SOWG,2026-05-11,1.7100000381469727,1.5299999713897705,1.8600000143051147,1.4700000286102295,437400.0,0.17931033235384408,0.11764710465562929,0.055172359362228675,0.2689654985307661,0.4143728593259368,0.9157999989395723,2.8918688738523834,0.2314049277374984,0.5795363917839328,0.29935175854800883,0.17574596190381886,0.09764309834584713,1.2831858883207283,0.043165512666415884,-0.13173647608051264,-0.18539321854505464,-0.7456140182098261,0.1765517308283927,0.3165517283619937,0.5577342184860745,2.2405738325856652,2.0,0.0,0.434482741044053,1.4500000476837158,$1-5,-0.017543912239656678,0.005847947508874407,,,,,,,0,0.5200933005050696,4
MRAM,2026-05-11,39.86000061035156,36.10200119018555,44.66999816894531,33.65999984741211,27873900.0,0.47684331042512684,0.10409393652082757,0.3376065763741903,0.407928803812549,2.6834124805700315,5.294068946407119,1.6616723261579833,0.27801020356135947,1.7356913089313424,2.271292829865073,2.5235090450705946,1.0,3.9749631697718666,0.4167979449894601,0.25593299481518916,0.9182658391276788,1.6306042075068854,0.12269731465238799,0.07233791122920953,1.69616889079932,1.1679037923657496,1.0,0.0,0.5279733279304745,26.989999771118164,$20-50,-0.0341194327528026,-0.08517311605063038,,,,,,,0,1.489874082097787,4
BW,2026-05-11,18.90999984741211,16.700000762939453,18.989999771118164,15.5600004196167,9175400.0,0.30055019924512805,0.13233526847358437,0.14855576387574818,0.2359009188789801,0.8860545845259742,0.5720269583515127,0.9481873308915009,0.05384095540171666,0.9089204132587878,0.9824191485522653,1.672732587093922,0.7889310754796728,5.3065693106735905,-0.05950841358498571,0.03340442624186424,0.0027586180588294873,-0.16628443138756432,0.08303989920174049,0.09290921827237372,0.8937745978908118,0.3650415433236508,0.0,2.0,0.10935351834658846,14.539999961853027,$5-20,0.022739307702037248,-0.024325705350844218,,,,,,,0,1.6011922472516973,4
CGTL,2026-05-11,1.649999976158142,1.0800000429153442,1.7000000476837158,1.059999942779541,3115200.0,0.49999994581396057,0.5277776949935522,-0.018181800448205245,0.5818182645750422,0.7588438790313581,0.12366784272360237,1.6703492913737306,0.06422022964083117,0.9361702283079563,0.8930891309441017,0.7789365404546575,0.2115384738826192,2.528735673133063,0.01851850012202405,-0.03508768627628134,-0.05982900496613697,-0.11290321340173892,0.1100000010837208,0.0778181915322609,1.4135512393412324,0.18265809983025688,1.0,0.0,0.10909091106131052,1.100000023841858,$1-5,-0.5696363603654971,-0.15151515370448654,,,,,,,0,0.6997591275976807,4
BTBT,2026-05-11,2.1500000953674316,1.8650000095367432,2.200000047683716,1.809999942779541,59157300.0,0.194444529068325,0.15281505864521744,0.03611114385687361,0.21666673068647202,1.2850160214472224,1.3917936970186355,1.3493993653452123,0.057377058257448155,1.1155872079514155,1.1479591588485445,0.7850392998722714,0.42654029426729845,1.4229248795821248,0.005586586970037999,0.1464967466115521,0.11111107840623058,0.3138685737600515,0.07611112001501506,0.06277777586454222,1.2123895593122425,0.32871775549107407,0.0,2.0,0.26666661809991776,1.7999999523162842,$1-5,-0.08604653664315975,-0.03813954117621754,,,,,,,0,6.746236316972559,4
WYFI,2026-05-11,26.979999542236328,23.489999771118164,29.0,22.75,4895400.0,0.26964703728170947,0.14857385292141423,0.10541175393497243,0.29411764705882354,1.162664541056384,1.2123604896541853,1.5099139792088745,0.08441813783151585,1.2415283955915062,1.370039649548444,1.0372262498628806,0.5430615747494929,1.9712430915008066,0.08640084765851985,0.27627630551716353,0.28398797459849434,0.4655172413793103,0.09621646656709558,0.06814822926240809,1.4118703832583732,0.4564878350183724,1.0,0.0,0.29176474178538603,21.25,$20-50,-0.05022237083863246,-0.01223127981115979,,,,,,,0,0.3881143888870817,4
LXRX,2026-05-11,2.309999942779541,2.009999990463257,2.4700000286102295,2.0,13954600.0,0.1549999713897705,0.14925370832819823,0.004999995231628418,0.23500001430511475,3.3460781182213872,2.872443174842232,1.6149771881063506,0.2142857294909813,1.157742399918721,1.1966016522661456,1.3820252974863507,1.0,1.8348623291329011,0.2121212296358923,0.22699386862009985,0.19047622764462102,0.16279067833272776,0.07499998807907104,0.054500001668930056,1.376146528117041,0.27261670004647964,2.0,0.0,0.2250000238418579,2.0,$1-5,0.025974001846660322,-0.0021644485481340237,,,,,,,0,1.613003341110571,3
QVCPQ,2026-05-11,7.360000133514404,5.690000057220459,7.699999809265137,5.619999885559082,1468900.0,0.2867133572513305,0.2934973742530564,-0.005244708753771869,0.36363636363636365,0.26875344219976416,0.6400496975978421,0.3906081585625036,0.5542169006941255,1.7710074322349045,1.6151712607490978,1.2722488031725925,0.6434195241047342,3.177777745399945,0.30892447139271595,0.43863171244081434,1.3636362024217021,1.1107009998799988,0.25667833389422834,0.19598777206499424,1.3096650428227108,1.3337065477387018,2.0,0.0,0.62237759352115,5.71999979019165,$5-20,-0.09375000607384276,-0.008152165990639837,,,,,,,0,0.06733117758053762,3
