price_bucket,ticker_days,mover_days,rate_pct,median_mover_pct
>$200,7,1,14.285714285714285,17.500000000000004
$1-5,64463,1236,1.917378961574857,21.157127424554844
$5-20,104501,668,0.6392283327432273,20.550230100788603
$20-50,70664,200,0.28302954828484095,20.31933774682184
$50-200,49655,111,0.22354244285570438,19.70727769213605
