ticker,date,close,open,high,low,volume,pct_chg,open_to_close,gap_pct,intraday_range_pct,rel_vol_20_t1,rel_vol_50_t1,vol_5d_over_20_t1,intraday_range_pct_t1,close_vs_ma20_t1,close_vs_ma50_t1,close_vs_ma200_t1,prox_52w_high_t1,prox_52w_low_t1,ret_3d_t1,ret_5d_t1,ret_10d_t1,ret_20d_t1,atr_5_pct_t1,atr_20_pct_t1,atr_5_over_20_t1,boll_width_t1,consec_up_t1,consec_dn_t1,consol_range_10_t1,close_t1,price_bucket_t1,t1_close_pct,t1_open_gap_pct,t2_close_pct,t3_close_pct,t4_close_pct,t5_close_pct,fwd_5d_close_pct,fwd_5d_max_pct,dow
ANGX,2025-09-15,16.0,14.640000343322754,18.899999618530273,13.520000457763672,1169600.0,0.20663647992630674,0.09289614923387188,0.10407240502418061,0.40573145308461855,,,,,,,,,,,,,,,,,,0.0,0.0,,13.260000228881836,$5-20,-0.18687498569488525,0.09375,-0.32282857304961876,-0.2133939275521476,-0.1341991127525869,-0.03500000635782874,-0.6381250023841858,-0.18687498569488525,0
CNSP,2025-09-15,9.199999809265137,7.730000019073486,9.260000228881836,7.599999904632568,98400.0,0.24492557178357677,0.19016814832658224,0.046008140558949945,0.22462792344253463,,,,,,,,,,,,,,,,,,0.0,0.0,,7.389999866485596,$5-20,-0.006521681215901576,0.002173962845469779,-0.044857854013753196,0.0011455016501953352,-0.08695649564616015,0.06265658170022093,-0.0782609002125968,-0.006521681215901576,0
APLM,2025-09-15,9.289999961853027,6.940000057220459,9.949999809265137,6.940000057220459,232900.0,0.36017570506972163,0.3386166981637991,0.016105437004853826,0.4407027504637817,,,,,,,,,,,,,,,,,,0.0,0.0,,6.829999923706055,$5-20,0.3110872287610107,-0.031216357701166486,0.5133826028511885,0.0,0.0,0.0,0.9841766028272902,0.9841766028272902,0
LIMX,2025-09-15,1.9600000381469727,1.7999999523162842,1.9600000381469727,1.7000000476837158,1900.0,0.3243243330320882,0.08888893892735743,0.21621616832351467,0.17567566696791176,,,,,,,,,,,,,,,,,,0.0,0.0,,1.4800000190734863,$1-5,0.0,0.0,-0.20918371318926687,0.27741940644231633,0.0,0.126262625046329,0.13775508962835414,0.13775508962835414,0
ANIX,2025-09-15,3.5199999809265137,3.0299999713897705,3.5399999618530273,3.0299999713897705,586700.0,0.19727888177471642,0.16171617629157758,0.030612215108049838,0.1734693811351222,,,,,,,,,,,,,,,,,,0.0,0.0,,2.940000057220459,$1-5,0.02272725117600638,0.005681812794001706,-0.06944444628409407,0.005970143730110733,-0.020771494249230527,0.057575775747238156,-0.008522719191002448,0.02272725117600638,0
LPTH,2025-09-15,6.909999847412109,5.980000019073486,6.929999828338623,5.909999847412109,3587100.0,0.25865211939794497,0.15551836544688055,0.08925323649977539,0.18579235399836225,,,,,,,,,,,,,,,,,,0.0,0.0,,5.489999771118164,$5-20,-0.1186685546934303,0.008683059928288106,0.09852214935948789,-0.053811678689876685,0.14375985124488389,-0.03867399748936007,0.007235917776986511,0.0477568641089976,0
AARD,2025-09-15,9.949999809265137,9.010000228881836,10.0,8.699999809265137,563600.0,0.15832358935028923,0.10432847463977891,0.04889407087698512,0.15133878552297989,,,,,,,,,,,,,,,,,,0.0,0.0,,8.59000015258789,$5-20,0.031155821664241357,0.03919601515565829,0.06920078190138113,0.029170436375102193,-0.03542955003381787,0.031221229402627726,0.12864319170934002,0.13467338475123625,0
LRE,2025-09-15,2.1500000953674316,2.4800000190734863,2.9700000286102295,1.809999942779541,42563800.0,0.3773222996900176,-0.13306448434195609,0.5887251990646233,0.7431134488316841,,,,,,,,,,,,,,,,,,0.0,0.0,,1.5609999895095825,$1-5,-0.018604743487125486,-0.04651169237927755,0.05213276729068683,-0.06756760965509312,-0.1304347776009539,-0.11666662472265632,-0.26046513355764644,0.03255810704084405,0
LVLU,2025-09-15,5.170000076293945,4.920000076293945,6.400000095367432,4.429999828338623,1722100.0,0.16179781975040308,0.0508130073421291,0.10561804206153964,0.4426967081947202,,,,,,,,,,,,,,,,,,0.0,0.0,,4.449999809265137,$1-5,-0.1295938232895012,-0.06963251996167596,0.06888887617323136,-0.016632000968346272,-0.008456651520450165,-0.006396633143354258,-0.09864607763167066,-0.06963251996167596,0
AREC,2025-09-15,2.450000047683716,2.0799999237060547,2.450000047683716,2.059999942779541,5422200.0,0.2068965922233026,0.1778846815140314,0.024630518729541365,0.1921182809855778,,,,,,,,,,,,,,,,,,0.0,0.0,,2.0299999713897705,$1-5,0.10612244302160989,0.053061172853952954,-0.06273065457600024,-0.0196850208926016,0.15261039139234245,0.03135893943436807,0.20816325736214658,0.20816325736214658,0
MBAI,2025-09-15,2.119999885559082,3.049999952316284,3.130000114440918,2.119999885559082,129608400.0,1.8418229337742051,-0.304918059441583,3.088471830373169,1.3538877209876186,,,,,,,,,,,,,,,,,,0.0,0.0,,0.7459999918937683,$0.50-1,0.1886793004528604,0.2240566833454718,-0.0793650988878909,0.08189657874467482,-0.09163347408261802,0.07456143790665148,0.15566046223516983,0.1886793004528604,0
FOXX,2025-09-15,5.521999835968018,5.059999942779541,5.860000133514404,4.849999904632568,174400.0,0.16252628125642476,0.09130432774959528,0.06526314584832442,0.2126316271330181,,,,,,,,,,,,,,,,,,0.0,0.0,,4.75,$1-5,-0.10720753806860917,-0.06012310550700306,0.024340845146982426,0.03564352901785339,-0.055449323287842356,0.0,-0.10539655849981255,-0.05287935993633419,0
CNTM,2025-09-15,0.35199999809265137,0.6815999746322632,0.6815999746322632,0.3199999928474426,347.0,9.0,-0.48356805869518643,18.363635747885898,10.272726810914424,,,,,,,,,,,,,,,,,,0.0,0.0,,0.03519999980926514,$0.50-1,0.0,0.0,15.909091401691281,-0.08602151743648123,0.0,-0.029411736347271344,14.000000677325513,15.909091401691281,0
CCCC,2025-09-15,3.569999933242798,2.809999942779541,3.6500000953674316,2.7799999713897705,8094200.0,0.3421051947552576,0.27046263556557043,0.05639092184540635,0.3270677052275244,,,,,,,,,,,,,,,,,,0.0,0.0,,2.6600000858306885,$1-5,-0.04481788526723418,0.00980394579416588,-0.008797645347408345,-0.01775153229781612,-0.048192726093168936,-0.1740506885430294,-0.2689075787390729,-0.04481788526723418,0
AXREF,2025-09-15,0.7900000214576721,0.7099999785423279,0.7900000214576721,0.6899999976158142,149700.0,0.1617647252177694,0.11267612018748097,0.04411760452090707,0.14705885704413382,,,,,,,,,,,,,,,,,,0.0,0.0,,0.6800000071525574,$0.50-1,0.012658215432457043,0.07594936804365715,0.012499987892806708,0.07407407679948075,0.0459770359062488,-0.043956066269097094,0.10126579890857101,0.1518987360873143,0
CNTMD,2025-09-15,0.35199999809265137,0.671999990940094,0.671999990940094,0.3199999928474426,347.0,9.99999941792342,-0.476190471966791,19.99999871943152,10.99999941792342,,,,,,,,,,,,,,,,,,0.0,0.0,,0.03200000151991844,$0.50-1,0.0,0.0,15.909091401691281,-0.08602151743648123,0.0,-0.029411736347271344,14.000000677325513,15.909091401691281,0
RCEL,2025-09-15,6.760000228881836,5.510000228881836,7.119999885559082,5.510000228881836,19595600.0,0.482456209146636,0.22686024465985674,0.2083333986893043,0.3530701045789648,,,,,,,,,,,,,,,,,,0.0,0.0,,4.559999942779541,$1-5,-0.07544381828611191,-0.0828402959550385,-0.06559997558593755,-0.05136989433158212,-0.01263541013418401,0.08226696587981563,-0.12426037339451901,-0.07544381828611191,0
RR,2025-09-15,3.890000104904175,3.424999952316284,3.9700000286102295,3.359999895095825,74234300.0,0.18417047283592325,0.1357664697990483,0.04261791866900164,0.18569257764879224,,,,,,,,,,,,,,,,,,0.0,0.0,,3.2850000858306885,$1-5,-0.0051414444230678535,0.01542414939883896,0.028423807950193947,0.1281406406031631,-0.008908677926962594,0.2449438650128597,0.42416447620879905,0.42416447620879905,0
ELAB,2025-09-15,138.47999572753906,116.87999725341797,141.07200622558594,116.87999725341797,8833.0,0.2071129206242377,0.18480491941908767,0.018828417100165064,0.2108787370532395,,,,,,,,,,,,,,,,,,0.0,0.0,,114.72000122070312,$50-200,-0.012131663255439795,0.0,0.0,0.07017537010649355,-0.04590164959606935,-0.03264603234321617,-0.024263436698556795,0.05719236289209606,0
AEI,2025-09-15,3.2100000381469727,2.5399999618530273,3.259999990463257,2.5350000858306885,781900.0,0.2251909077705896,0.263779561557613,-0.03053432335894301,0.27671753293907514,,,,,,,,,,,,,,,,,,0.0,0.0,,2.619999885559082,$1-5,0.33021804678589484,0.0,-0.2552693018824794,0.0849056525969969,0.005797095840604838,-0.04322769283304828,0.03426787968492495,0.33021804678589484,0
EFOI,2025-09-15,3.109999895095825,2.4200000762939453,3.1500000953674316,2.4200000762939453,115800.0,0.2693876875782464,0.28512388307795616,-0.012244886043219935,0.29795918565946333,,,,,,,,,,,,,,,,,,0.0,0.0,,2.450000047683716,$1-5,0.016077232289849475,0.006430938913094986,-0.06645570646931442,0.016949136104436047,0.0,-0.05000003178914392,-0.08360128592713212,0.016077232289849475,0
BLNE,2025-09-15,3.4100000858306885,2.690000057220459,3.5299999713897705,2.6600000858306885,5494100.0,0.36400003433227535,0.2676579975073294,0.0760000228881836,0.34799995422363283,,,,,,,,,,,,,,,,,,0.0,0.0,,2.5,$1-5,0.13489729857773192,0.061583517431858636,-0.08010334675623809,0.005617972260667514,0.18435750320599742,-0.03301883821769058,0.2023459828253329,0.24340166111323858,0
BINI,2025-09-15,20.0,20.0,22.5,15.0,628118.0,284.7142844978644,0.0,284.7142844978644,107.14285668669915,,,,,,,,,,,,,,,,,,0.0,0.0,,0.07000000029802322,$0.50-1,-0.125,0.0,-0.1428571428571429,-0.16666666666666663,0.0,-0.31919998168945307,-0.5744999885559082,-0.125,0
TSKFF,2025-09-15,0.7659500241279602,0.6800000071525574,0.7935000061988831,0.6757439970970154,992651.0,0.17531072704311224,0.1263970824578536,0.04342486796798745,0.18069051023110907,,,,,,,,,,,,,,,,,,0.0,0.0,,0.6517000198364258,$0.50-1,0.04119066412077532,0.06534363736097926,-0.020062736223105948,-0.003070993061454752,0.09318445254422936,0.06492896185953612,0.18415037100865028,0.18415037100865028,0
