feature,baseline_median,mover_median,delta,mover_p10,mover_p90,baseline_p10,baseline_p90,auc_mover_higher,abs_auc_minus_50
atr_5_pct_t1,0.03643343635652273,0.10653846340945132,0.07010502705292859,0.04479562333541119,0.2773823495669538,0.006153840375369738,0.09674097058710271,0.8454524458483754,0.3454524458483754
atr_20_pct_t1,0.03696746474736016,0.10182114939355574,0.06485368464619559,0.04662218050349154,0.24405577299803805,0.007470758463583042,0.09807150625818375,0.8417680415162455,0.3417680415162455
consol_range_10_t1,0.08118705645524195,0.25484074046917693,0.173653684013935,0.09232990483257109,0.7729655206545076,0.015557186339006494,0.24528297816753858,0.8291718140794224,0.3291718140794224
boll_width_t1,0.1585741009979792,0.4643609370795957,0.3057868360816165,0.17441481605687376,1.3428906406017227,0.03465844717924776,0.4741093883163923,0.8271573375451263,0.3271573375451263
intraday_range_pct_t1,0.030812296121223496,0.0984095132536709,0.0675972171324474,0.02719005679000387,0.29436146234966554,0.0,0.09350880625635702,0.8006089079422383,0.30060890794223827
prox_52w_high_t1,0.8778348526131384,0.5486414855767732,-0.32919336703636526,0.14633404996312654,0.9619981510891644,0.45873809101575863,0.9944500022238167,0.26079746389891695,0.23920253610108305
consec_up_t1,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.31813789711191337,0.18186210288808663
consec_dn_t1,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.3397165162454874,0.16028348375451262
prox_52w_low_t1,1.1487434218913073,1.3681752755617858,0.21943185367047846,1.0,3.4263551378510755,1.011811012535561,1.7670616588579873,0.6415771480144404,0.14157714801444043
close_vs_ma200_t1,0.9991930835869441,0.8776708077639318,-0.12152227582301234,0.35613980557923597,1.6284179918126394,0.7155239480044863,1.2278823470082791,0.4098882581227437,0.09011174187725629
vol_5d_over_20_t1,0.9315018727000476,1.0555653136163583,0.12406344091631072,0.2943909759979491,2.953921255627959,0.4080266311262357,1.5790415932984994,0.5708509657039711,0.07085096570397109
rel_vol_50_t1,0.7630367008171597,0.9403987779032084,0.17736207708604868,0.0800451308178642,4.838555998968879,0.05550641954784806,1.7758528337232247,0.5703270036101084,0.07032700361010835
rel_vol_20_t1,0.8052507022701685,0.9529876665596398,0.14773696428947136,0.10486543709092688,4.219902659424925,0.0870151628446892,1.7411203826344193,0.5689348285198556,0.06893482851985555
atr_5_over_20_t1,0.9651636195449399,1.0338778628565284,0.06871424331158849,0.5860349636688803,1.9111095991382534,0.6129128048749163,1.4071498129762887,0.5644513537906137,0.06445135379061373
close_vs_ma50_t1,1.0001337105474124,0.9645096245813789,-0.0356240859660335,0.533579872087082,1.488807249323974,0.8274229731552872,1.1485466382687488,0.45879638989169674,0.04120361010830326
ret_20d_t1,0.0038343704663446054,-0.0059394457969019765,-0.009773816263246582,-0.4219981958772488,0.674361221711065,-0.16815925392873476,0.18563976506738156,0.48871298736462093,0.011287012635379068
close_vs_ma20_t1,1.0011575154904286,0.9992290706608171,-0.0019284448296115198,0.702938147804995,1.3521623851056466,0.9022491735547942,1.0940963104576054,0.49426580324909747,0.0057341967509025316
ret_5d_t1,0.0,0.0,0.0,-0.2553096094628955,0.3685939730516862,-0.08137933139143316,0.08356001112073287,0.5055229602888086,0.005522960288808609
ret_3d_t1,0.0,0.0,0.0,-0.2150506359317872,0.27837827398895243,-0.062499941792337754,0.06361316980528842,0.5023701444043321,0.002370144404332142
ret_10d_t1,0.0008071215095700746,0.0,-0.0008071215095700746,-0.3319185114578021,0.501676242951813,-0.11816579669816762,0.12579340252165636,0.502028321299639,0.0020283212996390354
